rank,id,Player,Team,Position,Floor,Mean,Ceiling,SD,Risk,VOR,Drop Off,Tier,ADP,AAV,injury_status,pos_rank
134,2565836,Rashod Bateman,BAL,WR,105,124,141,8.52,3.96,-45.9,0.84,8,98.7,9.28,NA,36
135,2558178,Zane Gonzalez,CAR,K,112,124,134,10.8,5.61,-33.4,2.83,5,NA,NA,NA,23
136,100017,Rams,LAR,DST,107,124,137,15.6,5.58,-17,0.132,2,168,1.81,NA,5
137,100031,Buccaneers,TB,DST,108,124,136,5.48,0.598,-17.2,0.11,2,145,2.26,NA,6
138,100019,Dolphins,MIA,DST,95.9,124,144,3.97,1.91,-17.3,0.68,2,183,2.13,NA,7
139,2564223,James Robinson,JAC,RB,85.7,123,157,23.2,6.69,-78.9,1.46,10,109,5.34,Q,37
140,2566409,DeVonta Smith,PHI,WR,98.4,123,148,26.1,6.5,-46.7,0.632,8,93.3,5.53,NA,37
141,100029,49ers,SF,DST,103,123,140,15,4.41,-18,2.8,3,159,1.69,NA,8
142,2562712,Hunter Renfrow,LVR,WR,113,122,146,8.74,4.08,-47.4,0.269,8,91.8,7.5,NA,38
143,2564970,Chase Claypool,PIT,WR,103,122,144,15.9,5.06,-47.6,2.87,8,120,4.23,NA,39
144,2568282,Kenneth Walker III,SEA,RB,101,121,144,25.6,6.69,-80.4,18.3,11,75.1,18.6,Q,38
145,2560842,Eddy Pineiro,NYJ,K,58.6,121,128,5.76,4.21,-36.3,0.305,5,NA,NA,NA,24
146,2556521,Kaimi Fairbairn,HOU,K,106,121,138,12.2,8.43,-36.6,2.04,6,NA,NA,NA,25
147,2560866,Dalton Schultz,DAL,TE,104,120,140,10.1,4.63,59.3,5.66,4,69.5,10.8,NA,6
148,100007,Browns,CLE,DST,98.5,120,136,15.2,5.32,-20.8,0.972,4,198,1.18,NA,9
149,2565093,Brandon Aiyuk,SF,WR,96.6,119,143,19,5.49,-50.5,0.377,8,107,4.35,NA,40
150,2560735,Michael Gallup,DAL,WR,80.3,119,152,25.6,8.53,-50.9,0.257,8,119,5.51,Q,41
151,2560781,Christian Kirk,JAC,WR,110,119,138,7.39,3.3,-51.2,2.48,8,119,6.75,NA,42
152,2553112,Jason Myers,SEA,K,56,119,133,9.97,7.29,-38.6,4.2,6,NA,NA,NA,26
153,100027,Steelers,PIT,DST,103,119,142,13.9,5.35,-21.7,1.53,5,191,1.55,NA,10
154,100021,Patriots,NE,DST,103,118,132,13.6,4.08,-23.3,0.296,5,180,1.5,NA,11
155,100014,Colts,IND,DST,96.3,117,126,5.19,2.3,-23.6,4.4,6,155,2.03,NA,12
156,2552409,DeVante Parker,NE,WR,99,116,135,11.4,5.73,-53.6,0.395,8,144,4.21,NA,43
157,2567643,Treylon Burks,TEN,WR,52.4,116,146,14.8,6.67,-54,0.43,8,109,13,Q,44
158,2567250,Drake London,ATL,WR,96.4,115,140,14.7,7.42,-54.5,0.852,8,88.4,19.1,NA,45
159,2534797,Greg Zuerlein,NYJ,K,106,115,124,1.8,6.31,-42.8,20.3,7,126,1.86,NA,27
160,2560787,Allen Lazard,GB,WR,84.6,114,143,20.5,8.01,-55.3,2.22,8,110,7.59,NA,46
161,2560995,Dallas Goedert,PHI,TE,99.9,114,128,13.2,4.53,53.6,13.1,5,73.4,7.61,NA,7
162,100012,Titans,TEN,DST,99.2,113,126,17.5,5.94,-28,1.92,7,NA,1,NA,13
163,2561061,Russell Gage,TB,WR,102,112,127,10.3,4.94,-57.5,2.55,9,118,6.54,NA,47
164,100006,Bengals,CIN,DST,95,111,135,15.4,7.15,-29.9,0.53,7,207,NA,NA,14
165,100028,Chargers,LAC,DST,100,111,129,10.7,3.9,-30.4,2.18,8,188,1.28,NA,15
166,2540165,DeAndre Hopkins,ARI,WR,91.7,110,130,9.91,4.76,-60.1,0.364,9,82,12.2,S,48
167,2558985,Tim Patrick,DEN,WR,87,109,135,24.2,8.86,-60.4,3.16,9,132,3.22,NA,49
