rank,id,Player,Team,Position,Floor,Mean,Ceiling,SD,Risk,VOR,Drop Off,Tier,ADP,AAV,injury_status,pos_rank
221,100015,Jaguars,JAC,DST,68.4,84.8,109,7.74,6.03,-56.2,0.697,18,NA,NA,NA,28
222,2557889,Gerald Everett,LAC,TE,69.5,84.2,104,13,5.5,23.9,0.00625,7,147,2.84,NA,20
223,2562738,Irv Smith Jr.,MIN,TE,78.5,84.2,92.5,5.63,2.6,23.9,3.73,7,130,7.08,NA,21
224,100018,Raiders,LVR,DST,65.3,84.1,120,14.6,6.89,-56.9,0.968,18,NA,NA,NA,29
225,100013,Texans,HOU,DST,65.9,83.1,95.9,12.1,3.75,-57.8,1.73,19,NA,NA,NA,30
226,100010,Lions,DET,DST,45.6,81.4,103,18.2,5.17,-59.6,3.82,20,NA,NA,NA,31
227,2560935,Darrel Williams,ARI,RB,54.3,81.2,118,25,6.86,-121,6.02,13,140,3.74,NA,51
228,2559270,Robert Tonyan,GB,TE,68.3,80.5,102,5.34,3.96,20.2,7.42,8,148,2.9,Q,22
229,100024,Jets,NYJ,DST,50.7,77.6,93.1,17,8.14,-63.4,NA,NA,NA,NA,NA,32
230,2567232,Tyler Allgeier,ATL,RB,36.7,75.2,120,21.2,7.95,-127,1.83,13,104,5.38,NA,52
231,2539265,Rex Burkhead,HOU,RB,62.1,73.4,120,8.78,6.22,-128,1.55,13,166,1.58,NA,53
232,2560747,Hayden Hurst,CIN,TE,57.9,73.1,89.4,11.8,6.64,12.8,0.66,8,150,2.92,NA,23
233,2557858,Evan Engram,JAC,TE,62,72.4,90.2,8.7,5.08,12.1,0.637,8,157,3.42,NA,24
234,2558865,Chris Carson,SEA,RB,25.1,71.9,115,41.6,11.1,-130,1.66,13,134,3.22,Q,54
235,2555415,Austin Hooper,TEN,TE,56.5,71.8,85.9,12.3,5.77,11.5,0.165,8,138,2.72,NA,25
236,2550656,Cameron Brate,TB,TE,57.6,71.6,107,12.6,9.02,11.3,5.34,8,140,3.12,NA,26
237,2568189,Isaiah Spiller,LAC,RB,56.6,70.2,81.4,4.41,4.61,-132,4.19,13,94.3,5.87,NA,55
238,497240,Rob Gronkowski,FA,TE,41.4,66.3,107,24.5,11.5,5.99,5.16,9,140,2.2,NA,27
239,2568348,Brian Robinson,WAS,RB,53.5,66,76.1,9.26,6.04,-136,1.32,13,100,5.14,NA,56
240,2560809,Sony Michel,MIA,RB,38.1,64.7,92.1,17.5,5.86,-137,2.68,14,152,3.13,NA,57
241,2557994,DOnta Foreman,CAR,RB,33.9,62,93.2,18.7,5.89,-140,3.02,14,151,2.09,NA,58
242,2552559,C.J. Uzomah,NYJ,TE,43.9,61.1,78.5,7.94,5.2,0.828,0.362,9,150,1.97,Q,28
243,2558832,Mo Alie-Cox,IND,TE,51.7,60.8,70.6,9.74,6.36,0.466,0.466,9,NA,2.52,NA,29
244,2566130,Brevin Jordan,HOU,TE,46.2,60.3,77.7,13.8,6.86,0,0.611,9,175,1.64,NA,30
245,2564703,Adam Trautman,NO,TE,44.7,59.7,75.9,9.95,6.1,-0.611,12.7,10,NA,1.53,NA,31
246,2550512,Damien Williams,ATL,RB,27.3,59,90.8,14.7,5.75,-143,0.94,14,184,1.54,NA,59
247,2565926,Khalil Herbert,CHI,RB,42.4,58,72,10.6,5.46,-144,3.77,14,154,2.23,NA,60
248,2565899,Chuba Hubbard,CAR,RB,37.7,54.3,89.2,19.1,6.81,-148,0.294,14,150,1.5,NA,61
249,2560938,Jeffery Wilson,SF,RB,21.4,54,86.6,53.7,13.3,-148,11.8,15,NA,1.61,NA,62
250,2561027,Tyler Conklin,NYJ,TE,37.9,47,59.7,9.31,5.17,-13.3,NA,NA,NA,2.47,NA,32
251,2567160,Jaret Patterson,WAS,RB,14.5,42.1,69.2,16.3,4.77,-160,0.946,15,104,0.744,NA,63
252,2552453,Tevin Coleman,NYJ,RB,14.5,41.2,72.2,32.2,6.42,-161,NA,NA,NA,2.5,NA,64
253,2556771,Aldrick Rosas,FA,K,19.4,20.3,21.2,1.47,1.17,-137,6.31,9,NA,NA,NA,29
254,2540243,Brett Maher,FA,K,14,14,14,NA,NA,-143,4,10,157,NA,NA,30
255,2562968,Matthew Wright,FA,K,10,10,10,NA,-0.358,-147,6,11,NA,NA,NA,31
256,2562897,Elliott Fry,FA,K,4,4,4,NA,NA,-153,NA,NA,NA,NA,NA,32
